date,daily_flow
2020-03-01,31878
2020-03-02,56946
2020-03-03,49723
2020-03-04,58670
2020-03-05,58686
2020-03-06,34135
2020-03-07,39448
2020-03-08,46994
2020-03-09,68768
2020-03-10,64277
2020-03-11,61816
2020-03-12,51332
2020-03-13,43343
2020-03-14,44239
2020-03-15,36140
2020-03-16,29481
2020-03-17,24331
2020-03-18,30496
2020-03-19,20842
2020-03-20,31327
2020-03-21,31712
2020-03-22,19891
2020-03-23,3999
2020-03-24,20863
2020-03-25,12066
2020-03-26,21996
2020-03-27,26504
2020-03-28,8871
2020-03-29,9646
2020-03-30,15041
2020-03-31,14996
